Pool_name,n_cells
NPSAD-20201104-A2-cDNA,1161
NPSAD-20210218-C1-cDNA,2139
NPSAD-20210219-C1-cDNA,2471
NPSAD-20201104-A1-cDNA,3455
NPSAD-200-C1-cDNA,4917
NPSAD-183-C1-cDNA,5964
NPSAD-199-C1-cDNA,6371
NPSAD-126-S2-cDNA,6882
NPSAD-194-C1-cDNA,7000
NPSAD-20210223-C1-cDNA,7178
NPSAD-216-C1-cDNA,7515
NPSAD-249-C2-cDNA,7592
NPSAD-20210204-A2-cDNA,7609
NPSAD-177-C1-cDNA,7851
NPSAD-20210217-A1-cDNA,7894
NPSAD-183-C2-cDNA,8210
NPSAD-199-C2-cDNA,8272
NPSAD-179-A2-cDNA,8286
NPSAD-201-C1-cDNA,8502
NPSAD-227-A1-cDNA,8534
NPSAD-20210217-C2-cDNA,8994
NPSAD-20210122-A2-cDNA,9162
NPSAD-207-C1-cDNA,9173
NPSAD-157-C1-cDNA,9534
NPSAD-20210218-A1-cDNA,9696
NPSAD-210-C2-cDNA,9746
NPSAD-20210217-C1-cDNA,9820
NPSAD-20210127-C1-cDNA,9918
NPSAD-165-C1-cDNA,10149
NPSAD-202-C1-cDNA,10318
NPSAD-218-C1-cDNA,10341
NPSAD-186-C1-cDNA,10394
NPSAD-20201208-C1-cDNA,10578
NPSAD-224-C2-cDNA,10802
NPSAD-208-C1-cDNA,10865
NPSAD-20210219-C2-cDNA,10877
NPSAD-20210127-C2-cDNA,10894
NPSAD-257-C2-cDNA,10912
NPSAD-192-C1-cDNA,10929
NPSAD-144-S1-cDNA,11058
NPSAD-20210202-C2-cDNA,11063
NPSAD-166-C1-cDNA,11210
NPSAD-20210202-C1-cDNA,11327
NPSAD-207-C2-cDNA,11354
NPSAD-191-C1-cDNA,11481
NPSAD-155-C1-cDNA,11597
NPSAD-20201124-C1-cDNA,11617
NPSAD-185-C1-cDNA,11702
NPSAD-136-A1-cDNA,11712
NPSAD-20210223-C2-cDNA,11820
NPSAD-193-C1-cDNA,11909
NPSAD-224-C1-cDNA,11951
NPSAD-200-C2-cDNA,12212
NPSAD-20201124-C2-cDNA,12222
NPSAD-20210216-C1-cDNA,12255
NPSAD-128-S2-cDNA,12289
NPSAD-20210218-C2-cDNA,12637
NPSAD-184-C1-cDNA,12667
NPSAD-208-C2-cDNA,12687
NPSAD-127-S2-cDNA,12857
NPSAD-209-C1-cDNA,12883
NPSAD-253-A2-cDNA,12912
NPSAD-148-A2-cDNA,13021
NPSAD-20201218-C2-cDNA,13142
NPSAD-234-C2-cDNA,13348
NPSAD-159-A1-cDNA,13394
NPSAD-232-C2-cDNA,13416
NPSAD-20201110-C1-cDNA,13520
NPSAD-186-C2-cDNA,13580
NPSAD-232-C1-cDNA,13611
NPSAD-20201110-C2-cDNA,13619
NPSAD-229-A2-cDNA,13642
NPSAD-155-C2-cDNA,13705
NPSAD-218-C2-cDNA,13823
NPSAD-178-C1-cDNA,13873
NPSAD-20210216-A2-cDNA,13873
NPSAD-229-A1-cDNA,13902
NPSAD-216-C2-cDNA,13902
NPSAD-226-C2-cDNA,13919
NPSAD-20210121-A2-cDNA,13927
NPSAD-20201119-C1-cDNA,14158
NPSAD-20210114-C1-cDNA,14176
NPSAD-20201111-A2-cDNA,14187
NPSAD-20201111-A1-cDNA,14217
NPSAD-20201023-A1-cDNA,14232
NPSAD-20201216-C1-cDNA,14234
NPSAD-20210129-C1-cDNA,14319
NPSAD-20210209-A2-cDNA,14324
NPSAD-20210121-C2-cDNA,14352
NPSAD-20210121-C1-cDNA,14388
NPSAD-20201028-C1-cDNA,14545
NPSAD-20210216-A1-cDNA,14565
NPSAD-172-A1-cDNA,14607
NPSAD-20201105-C1-cDNA,14694
NPSAD-156-C1-cDNA,14707
NPSAD-20201023-A2-cDNA,14712
NPSAD-201-C2-cDNA,14874
NPSAD-20201021-A2-cDNA,14890
NPSAD-20210120-C1-cDNA,15007
NPSAD-20210312-A2-cDNA,15020
