pool_name,Individual_ID,demux_dons,vir_res,n_vir_dons,init_ratio,final_dons,cell_counts,n_final_dons,final_ratio,status
NPSAD-20201013-A1-cDNA,Donor_6,donor1,4035,5,0.297106251380605,donor1,3219,5,0.329883172781308,kept
NPSAD-20201013-A1-cDNA,Donor_95,donor2,3546,5,0.261100066269052,donor2,2699,5,0.27659356425497,kept
NPSAD-20201013-A1-cDNA,Donor_83,donor3,2884,5,0.212355496649731,donor3,1815,5,0.186001229760197,kept
NPSAD-20201013-A1-cDNA,Donor_1094,donor4,1718,5,0.126500257712981,donor4,1133,5,0.116109858577577,kept
NPSAD-20201013-A1-cDNA,Donor_689,donor5,1398,5,0.10293792798763,donor5,892,5,0.0914121746259479,kept
NPSAD-20201013-A2-cDNA,Donor_6,donor1,3403,5,0.291877519512823,donor1,2732,5,0.322017916077322,kept
NPSAD-20201013-A2-cDNA,Donor_95,donor2,2978,5,0.255424993567201,donor2,2352,5,0.277227722772277,kept
NPSAD-20201013-A2-cDNA,Donor_83,donor3,2486,5,0.213225834119564,donor3,1504,5,0.177274870344177,kept
NPSAD-20201013-A2-cDNA,Donor_1094,donor4,1433,5,0.122909340423707,donor4,1040,5,0.122583686940123,kept
NPSAD-20201013-A2-cDNA,Donor_689,donor5,1359,5,0.116562312376705,donor5,856,5,0.100895803866101,kept
NPSAD-20201015-C1-cDNA,Donor_739,donor1,2869,5,0.273837930705355,donor2,1517,5,0.300158290463,kept
NPSAD-20201015-C1-cDNA,Donor_1244,donor2,2734,5,0.260952562756514,donor1,1745,5,0.345271072417887,kept
NPSAD-20201015-C1-cDNA,Donor_532,donor3,2332,5,0.222582800419968,donor3,1026,5,0.203007518796992,kept
NPSAD-20201015-C1-cDNA,Donor_513,donor4,1629,5,0.155483439916006,donor4,443,5,0.0876533438860309,kept
NPSAD-20201015-C1-cDNA,Donor_274,donor5,913,5,0.0871432662021571,donor5,323,5,0.0639097744360902,kept
NPSAD-20201015-C2-cDNA,Donor_1244,donor1,3109,5,0.264573227810399,donor1,2012,5,0.342176870748299,kept
NPSAD-20201015-C2-cDNA,Donor_739,donor2,3093,5,0.26321164156242,donor2,1619,5,0.275340136054422,kept
NPSAD-20201015-C2-cDNA,Donor_532,donor3,2826,5,0.240490171049272,donor3,1314,5,0.223469387755102,kept
NPSAD-20201015-C2-cDNA,Donor_513,donor4,1853,5,0.157688707344056,donor4,569,5,0.0967687074829932,kept
NPSAD-20201015-C2-cDNA,Donor_274,donor5,870,5,0.0740362522338524,donor5,366,5,0.0622448979591837,kept
NPSAD-20201016-A1-cDNA,Donor_803,donor1,4165,6,0.268087023686921,donor1,3295,6,0.272359067614482,kept
NPSAD-20201016-A1-cDNA,Donor_1481,donor2,2638,6,0.169799176107106,donor2,2131,6,0.176144817325178,kept
NPSAD-20201016-A1-cDNA,Donor_1073,donor3,2579,6,0.166001544799176,donor3,2095,6,0.173169118862622,kept
NPSAD-20201016-A1-cDNA,Donor_508,donor4,2260,6,0.145468589083419,donor4,1758,6,0.145313274921475,kept
NPSAD-20201016-A1-cDNA,Donor_1115,donor5,1990,6,0.128089598352214,donor5,1487,6,0.12291287816168,kept
NPSAD-20201016-A1-cDNA,Donor_847,donor6,1904,6,0.122554067971164,donor6,1332,6,0.110100843114564,kept
NPSAD-20201016-A2-cDNA,Donor_803,donor1,2995,6,0.224951179209854,donor1,2544,6,0.237557194882809,kept
NPSAD-20201016-A2-cDNA,Donor_1073,donor2,2547,6,0.191302388463272,donor2,2137,6,0.19955177887758,kept
NPSAD-20201016-A2-cDNA,Donor_1481,donor3,2193,6,0.164713835060838,donor3,1817,6,0.16967037071622,kept
NPSAD-20201016-A2-cDNA,Donor_1115,donor4,2054,6,0.154273696860448,donor4,1475,6,0.137734615743767,kept
NPSAD-20201016-A2-cDNA,Donor_847,donor5,1788,6,0.134294727354664,donor5,1371,6,0.128023158091325,kept
NPSAD-20201016-A2-cDNA,Donor_508,donor6,1737,6,0.130464173050924,donor6,1365,6,0.1274628816883,kept
NPSAD-20201019-C2-cDNA,Donor_607,donor1,570,5,0.303676078849227,donor1,257,5,0.282417582417582,kept
NPSAD-20201019-C2-cDNA,Donor_758,donor2,496,5,0.264251465103889,donor3,217,5,0.238461538461538,kept
NPSAD-20201019-C2-cDNA,Donor_800,donor3,397,5,0.211507725093234,donor2,225,5,0.247252747252747,kept
NPSAD-20201019-C2-cDNA,Donor_702,donor4,320,5,0.170484816196058,donor4,169,5,0.185714285714286,kept
NPSAD-20201019-C2-cDNA,Donor_341,donor5,94,5,0.0500799147575919,donor5,42,5,0.0461538461538462,kept
NPSAD-20201020-A1-cDNA,Donor_501,donor1,2705,6,0.211940766277521,donor1,2108,6,0.242466068553025,kept
NPSAD-20201020-A1-cDNA,Donor_1431,donor2,2596,6,0.203400454438612,donor2,1884,6,0.216701173222912,kept
NPSAD-20201020-A1-cDNA,Donor_517,donor3,2200,6,0.1723732664734,donor5,1352,6,0.155509546813895,kept
