LAB BATCH SET_NAME,n_cells_high_rep,n_cells_low_rep,diff
NPSAD-118-A,25267.0,24723.0,2.153005897019828
NPSAD-119-A,24488.0,22994.0,6.100947402809539
NPSAD-120-A,24622.0,23863.0,3.08260904881813
NPSAD-121-A,19233.0,18686.0,2.8440700878698073
NPSAD-122-A,28807.0,27788.0,3.5373346755996806
NPSAD-123-A,17811.0,17131.0,3.8178653641008364
NPSAD-124-A,27303.0,24050.0,11.914441636450206
NPSAD-125-S,21450.0,20853.0,2.7832167832167833
NPSAD-126-S,21508.0,6882.0,68.00260368235075
NPSAD-127-S,16549.0,12857.0,22.309505106048704
NPSAD-128-S,20394.0,12289.0,39.74208100421693
NPSAD-129-A,31354.0,29604.0,5.581425017541622
NPSAD-130-A,25350.0,24943.0,1.6055226824457594
NPSAD-131-A,27443.0,27298.0,0.5283678898079656
NPSAD-132-A,27782.0,27605.0,0.6371031603196314
NPSAD-134-S,24323.0,21803.0,10.360564075155203
NPSAD-135-S,21308.0,20766.0,2.543645579125211
NPSAD-136-A,25493.0,11712.0,54.05797669948613
NPSAD-137-A,22881.0,21157.0,7.534635723963113
NPSAD-138-A,27177.0,26785.0,1.4423961437980646
NPSAD-139-A,23170.0,22531.0,2.75787656452309
NPSAD-140-A,29002.0,27615.0,4.78242879801393
NPSAD-141-A,30269.0,29651.0,2.041692821038026
NPSAD-142-A,25227.0,22744.0,9.842628929321759
NPSAD-143-S,26768.0,26609.0,0.5939928272564255
NPSAD-144-S,23048.0,11058.0,52.021867407150296
NPSAD-145-A,32849.0,32157.0,2.1066090291941917
NPSAD-146-A,25640.0,25026.0,2.3946957878315134
NPSAD-147-A,27388.0,25207.0,7.963341609463999
NPSAD-148-A,25144.0,13021.0,48.214285714285715
NPSAD-149-A,30050.0,29865.0,0.6156405990016639
NPSAD-150-A,29713.0,29216.0,1.6726685289267325
NPSAD-151-A,17935.0,16858.0,6.005018120992473
NPSAD-152-A,28152.0,24083.0,14.453680022733732
NPSAD-153-A,28151.0,28074.0,0.27352491918581934
NPSAD-154-S,19949.0,19345.0,3.027720687753772
NPSAD-155-C,13705.0,11597.0,15.381247719810288
NPSAD-156-C,28681.0,14707.0,48.72215055263066
NPSAD-157-C,21980.0,9534.0,56.62420382165605
NPSAD-158-C,25663.0,15699.0,38.82632583875618
NPSAD-159-A,20302.0,13394.0,34.02620431484583
NPSAD-160-A,23538.0,18746.0,20.35856912227037
NPSAD-161-A,29625.0,22670.0,23.476793248945146
NPSAD-162-A,25652.0,25146.0,1.9725557461406518
NPSAD-163-C,20453.0,16795.0,17.884906859629393
NPSAD-164-C,28181.0,21088.0,25.169440403108478
NPSAD-165-C,22685.0,10149.0,55.261185805598416
NPSAD-166-C,17934.0,11210.0,37.4930299988848
NPSAD-167-A,26251.0,25341.0,3.466534608205402
