Individual_ID,status,n_cells
Donor_6,kept,5951.0
Donor_95,kept,5051.0
Donor_83,kept,3319.0
Donor_1094,kept,2173.0
Donor_689,kept,1748.0
Donor_739,kept,3136.0
Donor_1244,kept,3757.0
Donor_532,kept,2340.0
Donor_513,kept,1012.0
Donor_274,kept,689.0
Donor_803,kept,5839.0
Donor_1481,kept,3948.0
Donor_1073,kept,4232.0
Donor_508,kept,3123.0
Donor_1115,kept,2962.0
Donor_847,kept,2703.0
Donor_607,kept,257.0
Donor_758,kept,217.0
Donor_800,kept,225.0
Donor_702,kept,169.0
Donor_341,kept,42.0
Donor_501,kept,5331.0
Donor_1431,kept,3463.0
Donor_517,kept,2895.0
Donor_1158,kept,3554.0
Donor_271,kept,2938.0
Donor_795,kept,699.0
Donor_1001,kept,8324.0
Donor_1074,kept,2777.0
Donor_1428,kept,1815.0
Donor_1473,kept,5985.0
Donor_1039,kept,4380.0
Donor_833,kept,3410.0
Donor_1224,kept,1777.0
Donor_731,kept,605.0
Donor_881,kept,3635.0
Donor_585,kept,3222.0
Donor_652,kept,2172.0
Donor_610,kept,1650.0
Donor_488,kept,3478.0
Donor_386,kept,4170.0
Donor_217,kept,4424.0
Donor_642,kept,3858.0
Donor_1363,kept,3717.0
Donor_1035,kept,1713.0
Donor_1101,kept,7060.0
Donor_402,kept,4430.0
Donor_65,kept,3349.0
Donor_383,kept,2345.0
Donor_1198,kept,2189.0
Donor_927,kept,5581.0
Donor_1464,kept,6109.0
Donor_174,kept,3547.0
Donor_312,kept,1294.0
Donor_1362,kept,4811.0
Donor_1374,kept,3252.0
Donor_828,kept,4212.0
Donor_1341,kept,2408.0
Donor_762,kept,770.0
Donor_1077,kept,6162.0
Donor_476,kept,5150.0
Donor_945,kept,4313.0
Donor_329,kept,5006.0
Donor_168,kept,4941.0
Donor_540,kept,5246.0
Donor_457,kept,2364.0
Donor_153,kept,1588.0
Donor_995,kept,589.0
Donor_487,kept,3346.0
Donor_580,kept,4213.0
Donor_569,kept,3569.0
Donor_1454,kept,4260.0
Donor_216,kept,940.0
Donor_806,kept,2256.0
Donor_688,kept,7742.0
Donor_415,kept,4915.0
Donor_560,kept,3041.0
Donor_641,kept,2571.0
Donor_228,kept,1509.0
Donor_1333,kept,2001.0
Donor_1061,kept,5177.0
Donor_160,kept,4007.0
Donor_566,kept,4381.0
Donor_1268,kept,3798.0
Donor_388,kept,3004.0
Donor_947,kept,3008.0
Donor_940,kept,5190.0
Donor_703,kept,4411.0
